,TotalFlow(m3),TotalRunoff(m3),TotalMass(kg),TotalConc(ug/L),BenthicConc(ug/L)
2003-09-03,4106.220703125,0.0,0.0,0.0,0.015949802473187447
2003-09-04,4110.7109375,4.4904398918151855,7.272924423217773,1769.2618408203125,0.016316000372171402
2003-09-05,4106.220703125,0.0,0.0,0.0,0.016316000372171402
2003-09-06,4106.220703125,0.0,0.0,0.0,0.016316000372171402
2003-09-07,4106.220703125,0.0,0.0,0.0,0.016316000372171402
2003-09-08,4106.220703125,0.0,0.0,0.0,0.016316000372171402
2003-09-09,4106.220703125,0.0,0.0,0.0,0.016316000372171402
2003-09-10,4106.220703125,0.0,0.0,0.0,0.016316000372171402
2003-09-11,4106.220703125,0.0,0.0,0.0,0.016316000372171402
2003-09-12,4106.220703125,0.0,0.0,0.0,0.016316000372171402
2003-09-13,18057.234375,13951.013671875,48197.50390625,2669152.0,0.015137162990868092
2003-09-14,5875.1220703125,1768.9013671875,5174.63818359375,880771.1875,0.01531137153506279
2003-09-15,4106.220703125,0.0,0.0,0.0,0.01531137153506279
2003-09-16,4106.220703125,0.0,0.0,0.0,0.01531137153506279
2003-09-17,4106.220703125,0.0,0.0,0.0,0.01531137153506279
2003-09-18,4106.220703125,0.0,0.0,0.0,0.01531137153506279
2003-09-19,13591.279296875,9485.05859375,35516.84765625,2613208.5,0.015568924136459827
2003-09-20,4106.220703125,0.0,0.0,0.0,0.015568924136459827
2003-09-21,8329.8330078125,4223.61279296875,16443.80859375,1974086.125,0.015568924136459827
2003-09-22,11137.3896484375,7031.1689453125,20230.978515625,1816492.0,0.01635405607521534
2003-09-23,4106.220703125,0.0,0.0,0.0,0.01635405607521534
2003-09-24,4106.220703125,0.0,0.0,0.0,0.01635405607521534
2003-09-25,4106.220703125,0.0,0.0,0.0,0.01635405607521534
2003-09-26,4106.220703125,0.0,0.0,0.0,0.01635405607521534
2003-09-27,4536.85107421875,430.6302490234375,941.099853515625,207434.59375,0.010251584462821484
2003-09-28,4106.220703125,0.0,0.0,0.0,0.010251584462821484
2003-09-29,4106.220703125,0.0,0.0,0.0,0.010251584462821484
2003-09-30,4106.220703125,0.0,0.0,0.0,0.010251584462821484
2003-10-01,3061.531005859375,0.0,0.0,0.0,0.010251584462821484
2003-10-02,3061.531005859375,0.0,0.0,0.0,0.010251584462821484
2003-10-03,3061.531005859375,0.0,0.0,0.0,0.010251584462821484
2003-10-04,3061.531005859375,0.0,0.0,0.0,0.010251584462821484
2003-10-05,3061.531005859375,0.0,0.0,0.0,0.010251584462821484
2003-10-06,3061.531005859375,0.0,0.0,0.0,0.010251584462821484
2003-10-07,3061.531005859375,0.0,0.0,0.0,0.010251584462821484
2003-10-08,3061.531005859375,0.0,0.0,0.0,0.010251584462821484
2003-10-09,3061.531005859375,0.0,0.0,0.0,0.010251584462821484
2003-10-10,3061.7119140625,0.18084058165550232,0.09407079219818115,30.72490119934082,0.010239633731544018
2003-10-11,3061.531005859375,0.0,0.0,0.0,0.010239633731544018
2003-10-12,3061.531005859375,0.0,0.0,0.0,0.010239633731544018
2003-10-13,3061.531005859375,0.0,0.0,0.0,0.010239633731544018
2003-10-14,36216.9375,33155.40625,124580.9921875,3439854.5,0.01606704480946064
2003-10-15,3061.531005859375,0.0,0.0,0.0,0.01606704480946064
2003-10-16,3061.531005859375,0.0,0.0,0.0,0.01606704480946064
2003-10-17,3061.531005859375,0.0,0.0,0.0,0.01606704480946064
2003-10-18,3061.531005859375,0.0,0.0,0.0,0.01606704480946064
2003-10-19,3061.531005859375,0.0,0.0,0.0,0.01606704480946064
2003-10-20,3061.531005859375,0.0,0.0,0.0,0.01606704480946064
2003-10-21,3061.531005859375,0.0,0.0,0.0,0.01606704480946064
2003-10-22,3061.531005859375,0.0,0.0,0.0,0.01606704480946064
2003-10-23,3061.531005859375,0.0,0.0,0.0,0.01606704480946064
2003-10-24,3061.531005859375,0.0,0.0,0.0,0.01606704480946064
2003-10-25,5006.8544921875,1945.323486328125,5201.1005859375,1038796.0,0.013217121362686157
2003-10-26,3061.531005859375,0.0,0.0,0.0,0.013217121362686157
2003-10-27,3061.531005859375,0.0,0.0,0.0,0.013217121362686157
2003-10-28,3061.531005859375,0.0,0.0,0.0,0.013217121362686157
2003-10-29,3061.531005859375,0.0,0.0,0.0,0.013217121362686157
2003-10-30,3061.531005859375,0.0,0.0,0.0,0.013217121362686157
2003-10-31,3061.531005859375,0.0,0.0,0.0,0.013217121362686157
2003-11-01,1926.31787109375,0.0,0.0,0.0,0.013217121362686157
2003-11-02,3883.62744140625,1957.3094482421875,5231.9599609375,1347183.875,0.013463412411510944
2003-11-03,4726.16064453125,2799.8427734375,9466.53515625,2003007.5,0.011712946929037571
