MASTER_OID,VolumeCorr,BasinID,BID,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,XC01,XC02,XC03,XC04,XC05,XC06,XC07,XC08,XC09,XC10,XC11,XC12
2291,96221.53,5320885-1,5320885,1509.537114,2089.37552,2943.230387,2412.323492,1746.854943,1030.008307,653.2356719,452.6164768,300.9287927,200.6191951,1115.638451,1986.619347,0.198507096,0.218194128,0.242977416,0.228045264,0.206931768,0.179307744,0.160983168,0.149126448,0.138382248,0.129786888,0.183004968,0.21491448,299.6538289,455.8894696,715.138514,550.1189477,361.4797817,184.6884657,105.1599479,67.49708748,41.64320281,26.03774101,204.167379,426.9532638
2292,96221.53,5320886-1,5320886,853.854867,1193.928868,1656.331647,1396.994639,1012.882278,572.4986787,369.4329081,254.4438572,168.813713,112.5424753,628.7699164,1115.638451,0.129881376,0.136873488,0.145011648,0.140601192,0.133285992,0.12301728,0.116994432,0.112864392,0.109170216,0.106231944,0.124498608,0.135355584,110.899845,163.4172086,240.1873818,196.4191115,135.0030192,70.42723026,43.22159324,28.71765124,18.42942951,11.95560593,78.28097934,151.007894
2343,96913.45,1914420-4,1914420,7320.154046,32267.88493,18831.29201,29698.9806,20658.88394,14021.32448,8452.918525,6762.33482,14730.83139,20883.96889,22865.69509,14473.94095,0.253581408,0.44482512,0.357566976,0.429703992,0.370856256,0.319360296,0.266251944,0.247006872,0.32534352,0.372453408,0.386184648,0.32319468,1856.25497,14353.56579,6733.448138,12761.77052,7661.476353,4477.854335,2250.60599,1670.343171,4792.580536,7778.305387,8830.38041,4677.900715
1873,61023.27,5320907-4,5320907,3041.093409,4127.372953,7136.660879,5678.501852,4193.430493,2429.449521,1511.98369,949.2713134,633.6630675,420.8109946,2554.224874,4484.572983,0.239962944,0.26566368,0.323597016,0.297356784,0.267117576,0.22355556,0.194715384,0.172657008,0.157465776,0.145066512,0.227048568,0.273399504,729.7497273,1096.493087,2309.402165,1688.541049,1120.138988,543.1169482,294.4064848,163.8983448,99.78024664,61.0455832,579.9331,1226.080029
1869,79816.52,5320059-4,5320059,785.3507516,1069.153515,1761.534396,1399.441215,949.2713134,557.8192254,352.3068792,234.8712528,146.794533,117.4356264,535.8000455,1093.619271,0.129079752,0.135325104,0.14787372,0.141677136,0.132795264,0.123251976,0.116918232,0.112477296,0.108396024,0.10678668,0.122633232,0.135824976,101.3728802,144.6833107,260.484644,198.2688233,126.0587347,68.75232178,41.19109744,26.41768342,15.91194372,12.54056066,65.70689128,148.5408112
2167,83896.28,5224996-1,5224996,64261.7534,83088.15225,82508.31385,68222.75921,49342.53569,32534.56166,20842.37711,17622.68369,11484.22563,15579.7931,35079.00024,59013.84884,0.285564072,0.313569096,0.312752232,0.291745416,0.260491224,0.227457,0.19935444,0.190371984,0.170770296,0.18426684,0.232900728,0.277090632,18350.84797,26053.87679,25804.65931,19903.67727,12853.29752,7400.213792,4155.020417,3354.865257,1961.16461,2870.839243,8169.924692,16352.18467
1878,73101.51,5348510-4,5348510,40909.18977,76064.03385,19264.33588,13695.92993,12484.87503,6982.52662,4115.140075,2561.564601,2072.249491,14185.24504,18009.24262,15056.22593,0.20753832,0.251822712,0.170114976,0.157502352,0.154454352,0.138403584,0.127534416,0.120069864,0.117293136,0.158697168,0.167438832,0.160775904,8490.224518,19154.65129,3277.152036,2157.141177,1928.343283,966.4067095,524.8219862,307.5667133,243.0606414,2251.158215,3015.44655,2420.678335
2408,179898.35,4789590-4,4789590,58566.12552,68239.88524,106878.6529,138647.4364,92796.16404,54727.44848,31306.38074,20766.53327,38002.65802,63126.54234,78089.7984,66906.50157,0.306939696,0.32494728,0.387074664,0.430505616,0.365891064,0.299408088,0.24668988,0.216785952,0.263243568,0.31558992,0.342086184,0.32253936,17976.26876,22174.3651,41370.01866,59688.50002,33953.28719,16385.84071,7722.967307,4501.892684,10003.95529,19922.10045,26713.44115,21579.98019
2367,39727.33,2544849-4,2544849,1401.88779,1651.438496,3280.857813,2488.167334,1834.931663,1025.115155,631.2164919,403.6849658,315.608246,178.6000152,1220.841199,1927.901533,0.132804408,0.136333992,0.154951176,0.146627088,0.138769344,0.126863856,0.119402352,0.114034824,0.111578136,0.106990896,0.13005816,0.139958064,186.1768781,225.1472027,508.3727763,364.8327307,254.6322631,130.0500615,75.36873375,46.03414402,35.21497979,19.10857565,158.7803601,269.8253662
1867,124419.24,5319333-4,5319333,2321.800197,2811.115307,5005.693575,3865.589369,2806.222156,1626.972741,1034.901458,667.9151252,413.471268,450.1699012,2502.846788,3430.098921,0.258884928,0.276508464,0.34193988,0.310143144,0.276340824,0.230511096,0.201356976,0.17908524,0.159955992,0.163000944,0.265590528,0.296850816,601.0790768,777.2971757,1711.64626,1198.88604,775.4737429,375.0352696,208.384628,119.6137405,66.13720683,73.37811886,664.7323998,1018.227664
1833,41697.47,5289474-4,5289474,2089.37552,2451.468701,2852.707091,2578.69063,1852.057691,1007.989127,641.0027941,401.2383902,278.9096127,200.6191951,658.128823,1847.16454,0.198193152,0.207422496,0.216929208,0.210513168,0.191731392,0.164753544,0.149635464,0.137382504,0.129762504,0.12402312,0.1504188,0.191594232,414.09992,508.4897568,618.83549,542.8483338,355.0975992,166.0697809,95.91675052,55.12313475,36.19200973,24.88141851,98.99494779,353.9060715
